"phylum","subphylum","class","subclass","order","family","genus","species","infraclass","suborder","infraorder","sciName"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Cottidae","Gymnocanthus","Gymnocanthus galeatus","Teleostei","Cottoidei",NA,"Gymnocanthus galeatus"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Cottidae","Gymnocanthus","Gymnocanthus pistilliger","Teleostei","Cottoidei",NA,"Gymnocanthus pistilliger"
"Chordata","Urochordata","Ascidiacea",NA,"Pleurogona","Pyuridae","Halocynthia",NA,NA,"Stolidobranchia",NA,"Halocynthia"
"Chordata","Urochordata","Ascidiacea",NA,"Pleurogona","Pyuridae","Halocynthia","Halocynthia aurantium",NA,"Stolidobranchia",NA,"Halocynthia aurantium"
NA,NA,NA,NA,NA,NA,NA,"Halocynthia igaboja",NA,NA,NA,"Halocynthia igaboja"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Cottidae","Hemilepidotus","Hemilepidotus hemilepidotus","Teleostei","Cottoidei",NA,"Hemilepidotus hemilepidotus"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Cottidae","Hemilepidotus","Hemilepidotus jordani","Teleostei","Cottoidei",NA,"Hemilepidotus jordani"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Hemitripteridae","Hemitripterus","Hemitripterus bolini","Teleostei","Cottoidei",NA,"Hemitripterus bolini"
"Echinodermata","Asterozoa","Asteroidea",NA,"Spinulosida","Echinasteridae","Henricia",NA,NA,NA,NA,"Henricia"
"Echinodermata","Asterozoa","Asteroidea",NA,"Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta",NA,NA,NA,"Henricia sanguinolenta"
"Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Decapoda","Hippolytidae","Heptacarpus",NA,NA,"Pleocyemata","Caridea","Heptacarpus"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Hexagrammidae",NA,NA,"Teleostei","Hexagrammoidei",NA,"Hexagrammidae"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos","Hexagrammos decagrammus","Teleostei","Hexagrammoidei",NA,"Hexagrammos decagrammus"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos","Hexagrammos stelleri","Teleostei","Hexagrammoidei",NA,"Hexagrammos stelleri"
"Echinodermata","Asterozoa","Asteroidea",NA,"Valvatida","Goniasteridae","Hippasteria","Hippasteria spinosa",NA,NA,NA,"Hippasteria spinosa"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides elassodon","Teleostei","Pleuronectoidei",NA,"Hippoglossoides elassodon"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus stenolepis","Teleostei","Pleuronectoidei",NA,"Hippoglossus stenolepis"
"Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Decapoda","Hippolytidae",NA,NA,NA,"Pleocyemata","Caridea","Hippolytidae"
"Echinodermata","Echinozoa","Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuroidea"
"Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Decapoda","Oregoniidae","Hyas",NA,NA,"Pleocyemata","Brachyura","Hyas"
"Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Decapoda","Oregoniidae","Hyas","Hyas lyratus",NA,"Pleocyemata","Brachyura","Hyas lyratus"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Agonidae","Hypsagonus","Hypsagonus quadricornis","Teleostei","Cottoidei",NA,"Hypsagonus quadricornis"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Cottidae","Icelinus","Icelinus borealis","Teleostei","Cottoidei",NA,"Icelinus borealis"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Cottidae","Icelus",NA,"Teleostei","Cottoidei",NA,"Icelus"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Cottidae","Icelus","Icelus spiniger","Teleostei","Cottoidei",NA,"Icelus spiniger"
"Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Isopoda",NA,NA,NA,NA,NA,NA,"Isopoda"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Pleuronectiformes","Pleuronectidae","Isopsetta","Isopsetta isolepis","Teleostei","Pleuronectoidei",NA,"Isopsetta isolepis"
"Chordata","Vertebrata","Chondrichthyes","Elasmobranchii","Lamniformes","Lamnidae","Lamna","Lamna ditropis",NA,NA,NA,"Lamna ditropis"
"Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Decapoda","Hippolytidae","Lebbeus","Lebbeus grandimana",NA,"Pleocyemata","Caridea","Lebbeus grandimana"
"Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Decapoda","Hippolytidae","Lebbeus","Lebbeus groenlandicus",NA,"Pleocyemata","Caridea","Lebbeus groenlandicus"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta",NA,"Teleostei","Pleuronectoidei",NA,"Lepidopsetta"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta bilineata","Teleostei","Pleuronectoidei",NA,"Lepidopsetta bilineata"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta polyxystra","Teleostei","Pleuronectoidei",NA,"Lepidopsetta polyxystra"
NA,NA,NA,NA,NA,NA,NA,"Leptagonus frenatus",NA,NA,NA,"Leptagonus frenatus"
NA,NA,NA,NA,NA,NA,NA,"Leptagonus leptorhynchus",NA,NA,NA,"Leptagonus leptorhynchus"
"Echinodermata","Asterozoa","Asteroidea",NA,"Forcipulatida","Asteriidae","Leptasterias",NA,NA,NA,NA,"Leptasterias"
"Echinodermata","Asterozoa","Asteroidea",NA,"Forcipulatida","Asteriidae","Leptasterias","Leptasterias polaris",NA,NA,NA,"Leptasterias polaris"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Cottidae","Leptocottus","Leptocottus armatus","Teleostei","Cottoidei",NA,"Leptocottus armatus"
